id	date	changeType	stateId	raceType	raceId	candidateName	partyId	fractionReporting
1	2016-11-04T17:12:17.665Z	start	AR					null
2	2016-11-04T17:12:17.665Z	start	HI					null
3	2016-11-04T17:12:17.665Z	start	IL					null
4	2016-11-04T17:12:17.665Z	start	IN					null
5	2016-11-04T17:12:17.665Z	lead	HI	house	HI02	Gabbard	dem	0.3208955223880597
6	2016-11-04T17:12:38.821Z	start	KY					null
7	2016-11-04T17:12:38.821Z	start	OR					null
8	2016-11-04T17:13:01.300Z	start	CA					null
9	2016-11-04T17:13:01.300Z	start	OH					null
10	2016-11-04T17:13:01.300Z	start	FL					null
11	2016-11-04T17:13:01.300Z	start	WA					null
12	2016-11-04T17:13:01.300Z	lead	CA	house	CA15	Swalwell	dem	0.2706896551724138
13	2016-11-04T17:13:01.300Z	lead	CA	house	CA52	Peters	dem	0.28635346756152125
14	2016-11-04T17:13:01.300Z	lead	CA	house	CA53	Davis	dem	0.25
15	2016-11-04T17:13:01.300Z	lead	FL	house	FL23	Wasserman Schultz	dem	0.354978354978355
16	2016-11-04T17:13:01.300Z	lead	WA	house	WA06	Kilmer	dem	0.2559241706161137
17	2016-11-04T17:13:01.300Z	lead	CA	house	CA49	Issa	gop	0.29158512720156554
18	2016-11-04T17:13:01.300Z	lead	OH	house	OH01	Chabot	gop	0.3683168316831683
19	2016-11-04T17:13:01.300Z	lead	OH	house	OH02	Wenstrup	gop	0.3304498269896194
20	2016-11-04T17:13:22.798Z	start	VT					null
21	2016-11-04T17:13:22.798Z	start	VA					null
22	2016-11-04T17:13:22.798Z	start	AL					null
23	2016-11-04T17:13:22.798Z	start	WV					null
24	2016-11-04T17:14:06.688Z	start	NC					null
25	2016-11-04T17:14:06.688Z	start	NH					null
26	2016-11-04T17:14:06.688Z	start	SC					null
27	2016-11-04T17:14:27.536Z	start	GA					null
28	2016-11-04T17:15:31.405Z	start	DC					null
29	2016-11-04T17:15:31.405Z	start	MD					null
30	2016-11-04T17:15:31.405Z	start	MI					null
31	2016-11-04T17:15:31.405Z	lead	IL	house	IL07	Davis	dem	0.3249581239530988
32	2016-11-04T17:15:51.997Z	start	KS					null
33	2016-11-04T17:15:51.997Z	start	CT					null
34	2016-11-04T17:15:51.997Z	start	MS					null
35	2016-11-04T17:15:51.997Z	start	ND					null
36	2016-11-04T17:15:51.997Z	start	RI					null
37	2016-11-04T17:16:12.718Z	start	NJ					null
38	2016-11-04T17:16:12.718Z	start	MA					null
39	2016-11-04T17:16:12.718Z	start	OK					null
40	2016-11-04T17:16:12.718Z	lead	CA	house	CA14	Speier	dem	0.4308755760368664
41	2016-11-04T17:16:12.718Z	lead	CA	house	CA41	Takano	dem	0.2529182879377432
42	2016-11-04T17:16:12.718Z	lead	CA	house	CA51	Vargas	dem	0.3325892857142857
43	2016-11-04T17:16:12.718Z	lead	VA	house	VA02	Brown	dem	0.35195530726256985
44	2016-11-04T17:16:12.718Z	lead	CA	house	CA36	Stone	gop	0.32710280373831774
45	2016-11-04T17:16:12.718Z	lead	CA	house	CA39	Royce	gop	0.35391923990498814
46	2016-11-04T17:16:12.718Z	lead	CA	house	CA42	Calvert	gop	0.27602905569007263
47	2016-11-04T17:16:12.718Z	lead	CA	house	CA45	Walters	gop	0.4172661870503597
48	2016-11-04T17:16:12.718Z	lead	CA	house	CA48	Rohrabacher	gop	0.37583892617449666
49	2016-11-04T17:16:12.718Z	lead	FL	house	FL16	Buchanan	gop	0.3558282208588957
50	2016-11-04T17:16:12.718Z	lead	FL	house	FL06	DeSantis	gop	0.4734042553191489
51	2016-11-04T17:16:12.718Z	lead	WV	house	WV02	Mooney	gop	0.2549728752260398
52	2016-11-04T17:16:55.092Z	start	MO					null
53	2016-11-04T17:16:55.092Z	start	TX					null
54	2016-11-04T17:17:19.158Z	start	PA					null
55	2016-11-04T17:17:19.158Z	lead	NC	house	NC01	Butterfield	dem	0.2793522267206478
56	2016-11-04T17:18:21.384Z	lead	HI	president	HI	Clinton	dem	0.31983805668016196
57	2016-11-04T17:18:21.384Z	lead	HI	senate	HIS3	Schatz	dem	0.38866396761133604
58	2016-11-04T17:18:21.384Z	lead	HI	house	HI02	Gabbard	dem	0.6044776119402985
59	2016-11-04T17:18:21.384Z	lead	HI	house	HI01	Ostrov	gop	0.26548672566371684
60	2016-11-04T17:18:46.604Z	start	DE					null
61	2016-11-04T17:18:46.604Z	lead	IL	house	IL05	Quigley	dem	0.2893835616438356
62	2016-11-04T17:18:46.604Z	lead	MD	house	MD03	Sarbanes	dem	0.256
63	2016-11-04T17:18:46.604Z	lead	MD	house	MD07	Cummings	dem	0.329073482428115
64	2016-11-04T17:18:46.604Z	lead	KS	house	KS03	Yoder	gop	0.27229299363057324
65	2016-11-04T17:19:07.449Z	lead	CA	house	CA13	Lee	dem	0.344294003868472
66	2016-11-04T17:19:07.449Z	lead	CA	house	CA38	Sanchez	dem	0.26649746192893403
67	2016-11-04T17:19:07.449Z	lead	CA	house	CA47	Lowenthal	dem	0.3439024390243902
68	2016-11-04T17:19:07.449Z	lead	CA	house	CA07	Bera	dem	0.32
69	2016-11-04T17:19:07.449Z	lead	CA	house	CA45	Walters	gop	0.5707434052757794
70	2016-11-04T17:19:07.449Z	lead	NJ	house	NJ11	Frelinghuysen	gop	0.47130434782608693
71	2016-11-04T17:19:07.449Z	lead	NJ	house	NJ03	MacArthur	gop	0.2539404553415061
72	2016-11-04T17:19:28.419Z	lead	OH	house	OH08	Fought	dem	0.28545780969479356
73	2016-11-04T17:20:11.770Z	lead	TX	house	TX15	Gonzalez	dem	0.3460207612456747
74	2016-11-04T17:20:11.770Z	lead	TX	house	TX16	O'Rourke	dem	0.6127167630057804
75	2016-11-04T17:20:11.770Z	lead	MO	house	MO07	Long	gop	0.3174061433447099
76	2016-11-04T17:20:33.968Z	lead	NC	house	NC13	Davis	dem	0.3090909090909091
